Александр;321;6,92%
Василий;136;2,93%
Григорий;65;1,40%
Иван;417;8,98%
Игнатий;83;1,79%
Климент;10;0,22%
Юстин;22;0,47%
Дмитрий;46;0,99%
Георгий;77;1,66%
Николай;363;7,82%
Владимир;257;5,54%
Арсений;13;0,28%
Виталий;14;0,30%
Адриан;4;0,09%
Гаврила;15;0,32%
Емельян;8;0,17%
Михаил;242;5,21%
Сильвестр;6;0,13%
Борис;54;1,16%
Евгений;76;1,64%
Фёдор;76;1,64%
Анатолий;22;0,47%
Петр;112;2,41%
Осип;217;4,67%
Константин;194;4,18%
Олег;1;0,02%
Станислав;14;0,30%
Антон;161;3,47%
Павел;108;2,33%
Алексей;58;1,25%
Африкан;1;0,02%
Дормидонт;1;0,02%
Сергей;91;1,96%
Вацлав;25;0,54%
Яков;57;1,23%
Семён;32;0,69%
Фома;30;0,65%
Леопольд;3;0,06%
Валентин;10;0,22%
Трофим;2;0,04%
Адам;32;0,69%
Юлиан;53;1,14%
Лев;49;1,06%
Викентий;33;0,71%
Виктор;44;0,95%
Лаврентий;9;0,19%
Генрих;3;0,06%
Леонид;20;0,43%
Вадим;1;0,02%
Карл;7;0,15%
Адольф;7;0,15%
Фавст;11;0,24%
Никодим;11;0,24%
Елисей;2;0,04%
Парфений;2;0,04%
Созонт;2;0,04%
Флор;9;0,19%
Аркадий;9;0,19%
Палладий;2;0,04%
Евстафий;19;0,41%
Ярослав;6;0,13%
Максим;1;0,02%
Ромуальд;2;0,04%
Афанасий;19;0,41%
Владислав;12;0,26%
Платон;47;1,01%
Иероним;9;0,19%
Ксенофонт;5;0,11%
Роман;15;0,32%
Эдуард;9;0,19%
Степан;91;1,96%
Андрей;65;1,40%
Ипполит;19;0,41%
Демьян;1;0,02%
Игорь;4;0,09%
Митрофан;9;0,19%
Феликс;7;0,15%
Геннадий;4;0,09%
Онуфрий;10;0,22%
Денис;2;0,04%
Франциск;12;0,26%
Феофил;16;0,34%
Всеволод;15;0,32%
Яроникъ;1;0,02%
Леонард;3;0,06%
Богдан;3;0,06%
Зинон;7;0,15%
Иларион;14;0,30%
Келестин;4;0,09%
Куприян;7;0,15%
Лука;22;0,47%
Никанор;22;0,47%
Евграф;2;0,04%
Ростислав;2;0,04%
Данила;15;0,32%
Аполлинарий;5;0,11%
Иоаким;8;0,17%
;1;0,02%
Софроний;4;0,09%
Модест;2;0,04%
Тит;9;0,19%
Августинъ;7;0,15%
Апполон;3;0,06%
Валерьян;15;0,32%
Леонтий;13;0,28%
Исидор;6;0,13%
Ильдефонс;3;0,06%
Иосафат;6;0,13%
Наркис;4;0,09%
Илья;15;0,32%
Бронислав;2;0,04%
Тарас;2;0,04%
Прокофий;1;0,02%
Казимир;14;0,30%
Лонгин;7;0,15%
Фадей;7;0,15%
Август;3;0,06%
Марк;5;0,11%
Хрисанф;5;0,11%
Хлодвиг;10;0,22%
Богуслав;1;0,02%
Измаил;2;0,04%
Матвей;8;0,17%
Федосий;7;0,15%
Нил;2;0,04%
Фегонтъ;1;0,02%
Зиновий;5;0,11%
Плакид;2;0,04%
Марин;1;0,02%
Витольд;2;0,04%
Никандр;5;0,11%
Севериан;1;0,02%
Эразм;2;0,04%
Мартин;9;0,19%
Иерон;1;0,02%
Фердинанд;2;0,04%
Евдоким;2;0,04%
Виссарион;1;0,02%
Гервасий;3;0,06%
Корнилий;3;0,06%
Каликст;1;0,02%
Филипп;11;0,24%
Адальберт;1;0,02%
Захар;6;0,13%
Артемий;3;0,06%
Гаспар;1;0,02%
Тихон;3;0,06%
Наполеон;1;0,02%
Ричард;1;0,02%
Вениамин;2;0,04%
Прохор;2;0,04%
Давыд;3;0,06%
Иннокентий;1;0,02%
Венедикт;7;0,15%
Мефодий;2;0,04%
Еварест;1;0,02%
Конкордий;1;0,02%
Болеслав;4;0,09%
Иона;1;0,02%
Моисей;1;0,02%
Донат;1;0,02%
Поликарп;4;0,09%
Дамаскин;1;0,02%
Мелхиседек;1;0,02%
Лавр;1;0,02%
Савва;1;0,02%
Вальдемар;1;0,02%
Маркиан;1;0,02%
Клавдий;2;0,04%
Тимофей;2;0,04%
Доместиан;1;0,02%
Елевферий;1;0,02%
Кирилл;3;0,06%
Руф;1;0,02%
Эраст;1;0,02%
Кандид;1;0,02%
Патапий;1;0,02%
Капитон;2;0,04%
Серафим;3;0,06%
Тимон;1;0,02%
Валерий;3;0,06%
Севастьян;1;0,02%
Иоиль;1;0,02%
Мирон;1;0,02%
Бальтазар;1;0,02%
Евгардъ;1;0,02%
Никифор;3;0,06%
Евфремъ;1;0,02%
Гаэтано;2;0,04%
Иммануиль;2;0,04%
Порфирий;1;0,02%
Иакинф;1;0,02%
