Адам;16;1,50%
Виктор;12;1,12%
Хлодвиг;7;0,65%
Антон;51;4,77%
Адольф;7;0,65%
Иван;129;12,07%
Оттоне;1;0,09%
Альфонс;2;0,19%
Михаил;42;3,93%
Семён;21;1,96%
Януарий;3;0,28%
Климент;13;1,22%
Иоаким;5;0,47%
Игнатий;26;2,43%
Осип;79;7,39%
Лаврентий;3;0,28%
Арефа;1;0,09%
Петр;23;2,15%
Станислав;13;1,22%
Николай;34;3,18%
Парфений;3;0,28%
Павел;26;2,43%
Яков;10;0,94%
Юлиан;23;2,15%
Лев;14;1,31%
Константин;31;2,90%
Феофил;10;0,94%
Аполлинарий;1;0,09%
Александр;32;2,99%
Виталий;4;0,37%
Франциск;17;1,59%
Вильгельм;2;0,19%
Степан;27;2,53%
Матвей;8;0,75%
Фёдор;18;1,68%
Георгий;10;0,94%
Иосафат;11;1,03%
Симплиций;1;0,09%
Фома;10;0,94%
Викентий;22;2,06%
Арсений;2;0,19%
Владислав;7;0,65%
Ансельм;1;0,09%
Фелициан;7;0,65%
Леонард;1;0,09%
Василий;30;2,81%
Лука;6;0,56%
Августинъ;3;0,28%
Макар;1;0,09%
Фердинанд;4;0,37%
Федосий;3;0,28%
Альбин;2;0,19%
Феликс;22;2,06%
Карл;9;0,84%
Ипполит;7;0,65%
Эдуард;6;0,56%
Евстафий;1;0,09%
Либертъ;1;0,09%
Ильдефонс;1;0,09%
Фаустин;1;0,09%
Мамертъ;1;0,09%
Тит;3;0,28%
Палладий;1;0,09%
Лавр;1;0,09%
Вацлав;1;0,09%
Кесарий;1;0,09%
Сильвестр;4;0,37%
Флор;3;0,28%
Валерьян;4;0,37%
Герасим;1;0,09%
Корнилий;1;0,09%
Ксаверий;2;0,19%
Севериан;1;0,09%
Юстин;2;0,19%
Гаврила;4;0,37%
Иероним;4;0,37%
Плакид;1;0,09%
Казимир;12;1,12%
Зинон;2;0,19%
Афанасий;4;0,37%
Андрей;15;1,40%
Платон;6;0,56%
Мариан;2;0,19%
Венедикт;5;0,47%
Генрих;2;0,19%
Рафаил;4;0,37%
Данила;3;0,28%
Максим;2;0,19%
Мартин;3;0,28%
Иошер;1;0,09%
Куприян;4;0,37%
Фавст;2;0,19%
Григорий;14;1,31%
Ромуальд;2;0,19%
Илья;4;0,37%
Агатинъ;1;0,09%
Леонтий;2;0,19%
Гервасий;1;0,09%
Кирилл;3;0,28%
Денис;1;0,09%
Герман;1;0,09%
Алексей;4;0,37%
Збигнев;2;0,19%
Ярослав;2;0,19%
Роман;2;0,19%
Савелий;1;0,09%
Наркис;1;0,09%
Северин;3;0,28%
Иммануиль;2;0,19%
Адальберт;4;0,37%
Вонифатий;1;0,09%
Онуфрий;3;0,28%
Иларий;1;0,09%
Иларион;1;0,09%
Дементий;1;0,09%
Фадей;6;0,56%
Валерий;1;0,09%
Апполон;1;0,09%
Ескиллъ;1;0,09%
Зиновий;1;0,09%
Ксенофонт;1;0,09%
Целестинъ;1;0,09%
Иннокентий;1;0,09%
Гаспар;1;0,09%
Маркел;1;0,09%
Богуслав;2;0,19%
Валентин;1;0,09%
Гедеон;1;0,09%
Дмитрий;2;0,19%
Самуил;1;0,09%
Клит;1;0,09%
Мелетий;1;0,09%
Савва;1;0,09%
Самсон;1;0,09%
Филипп;1;0,09%
